x,y
0.00,40.00
1.00,41.50
2.00,43.00
3.00,44.50
4.00,46.00
5.00,47.50
6.00,49.00
7.00,50.50
8.00,52.00
9.00,53.50
10.00,55.00
11.00,56.50
12.00,58.00
13.00,59.50
14.00,61.00
15.00,62.50
16.00,64.00
17.00,65.50
18.00,67.00
19.00,68.50
20.00,70.00
21.00,71.50
22.00,73.00
23.00,74.50
24.00,76.00
25.00,77.50
26.00,79.00
27.00,80.50
28.00,82.00
29.00,83.50
30.00,85.00
31.00,86.50
32.00,88.00
33.00,89.50
34.00,91.00
35.00,92.50
36.00,94.00
37.00,95.50
38.00,97.00
39.00,98.50
40.00,100.00
41.00,101.50
42.00,103.00
43.00,104.50
44.00,106.00
45.00,107.50
46.00,109.00
47.00,110.50
48.00,112.00
49.00,113.50
50.00,115.00
51.00,116.50
52.00,118.00
53.00,119.50
54.00,121.00
55.00,122.50
56.00,124.00
57.00,125.50
58.00,127.00
59.00,128.50
60.00,130.00
61.00,131.50
62.00,133.00
63.00,134.50
64.00,136.00
65.00,137.50
66.00,139.00
67.00,140.50
68.00,142.00
69.00,143.50
70.00,145.00
71.00,146.50
72.00,148.00
73.00,149.50
74.00,151.00
75.00,152.50
76.00,154.00
77.00,155.50
78.00,157.00
79.00,158.50
80.00,160.00
81.00,161.50
82.00,163.00
83.00,164.50
84.00,166.00
85.00,167.50
86.00,169.00
87.00,170.50
88.00,172.00
89.00,173.50
90.00,175.00
91.00,176.50
92.00,178.00
93.00,179.50
94.00,181.00
95.00,182.50
96.00,184.00
97.00,185.50
98.00,187.00
99.00,188.50
