x,y
0.00,35.00
1.00,36.20
2.00,37.40
3.00,38.60
4.00,39.80
5.00,41.00
6.00,42.20
7.00,43.40
8.00,44.60
9.00,45.80
10.00,47.00
11.00,48.20
12.00,49.40
13.00,50.60
14.00,51.80
15.00,53.00
16.00,54.20
17.00,55.40
18.00,56.60
19.00,57.80
20.00,59.00
21.00,60.20
22.00,61.40
23.00,62.60
24.00,63.80
25.00,65.00
26.00,66.20
27.00,67.40
28.00,68.60
29.00,69.80
30.00,71.00
31.00,72.20
32.00,73.40
33.00,74.60
34.00,75.80
35.00,77.00
36.00,78.20
37.00,79.40
38.00,80.60
39.00,81.80
40.00,83.00
41.00,84.20
42.00,85.40
43.00,86.60
44.00,87.80
45.00,89.00
46.00,90.20
47.00,91.40
48.00,92.60
49.00,93.80
50.00,95.00
51.00,96.20
52.00,97.40
53.00,98.60
54.00,99.80
55.00,101.00
56.00,102.20
57.00,103.40
58.00,104.60
59.00,105.80
60.00,107.00
61.00,108.20
62.00,109.40
63.00,110.60
64.00,111.80
65.00,113.00
66.00,114.20
67.00,115.40
68.00,116.60
69.00,117.80
70.00,119.00
71.00,120.20
72.00,121.40
73.00,122.60
74.00,123.80
75.00,125.00
76.00,126.20
77.00,127.40
78.00,128.60
79.00,129.80
80.00,131.00
81.00,132.20
82.00,133.40
83.00,134.60
84.00,135.80
85.00,137.00
86.00,138.20
87.00,139.40
88.00,140.60
89.00,141.80
90.00,143.00
91.00,144.20
92.00,145.40
93.00,146.60
94.00,147.80
95.00,149.00
96.00,150.20
97.00,151.40
98.00,152.60
99.00,153.80
