x,y
0.00,36.18
1.00,37.60
2.00,39.02
3.00,40.44
4.00,41.86
5.00,43.28
6.00,44.70
7.00,46.12
8.00,47.54
9.00,48.96
10.00,50.38
11.00,51.80
12.00,53.22
13.00,54.64
14.00,56.06
15.00,57.48
16.00,58.90
17.00,60.32
18.00,61.74
19.00,63.16
20.00,64.58
21.00,66.00
22.00,67.42
23.00,68.84
24.00,70.26
25.00,71.68
26.00,73.10
27.00,74.52
28.00,75.94
29.00,77.36
30.00,78.78
31.00,80.20
32.00,81.62
33.00,83.04
34.00,84.46
35.00,85.88
36.00,87.30
37.00,88.72
38.00,90.14
39.00,91.56
40.00,92.98
41.00,94.40
42.00,95.82
43.00,97.24
44.00,98.66
45.00,100.08
46.00,101.50
47.00,102.92
48.00,104.34
49.00,105.76
50.00,107.18
51.00,108.60
52.00,110.02
53.00,111.44
54.00,112.86
55.00,114.28
56.00,115.70
57.00,117.12
58.00,118.54
59.00,119.96
60.00,121.38
61.00,122.80
62.00,124.22
63.00,125.64
64.00,127.06
65.00,128.48
66.00,129.90
67.00,131.32
68.00,132.74
69.00,134.16
70.00,135.58
71.00,137.00
72.00,138.42
73.00,139.84
74.00,141.26
75.00,142.68
76.00,144.10
77.00,145.52
78.00,146.94
79.00,148.36
80.00,149.78
81.00,151.20
82.00,152.62
83.00,154.04
84.00,155.46
85.00,156.88
86.00,158.30
87.00,159.72
88.00,161.14
89.00,162.56
90.00,163.98
91.00,165.40
92.00,166.82
93.00,168.24
94.00,169.66
95.00,171.08
96.00,172.50
97.00,173.92
98.00,175.34
99.00,176.76
